Julian,maxT,minT,Rain,Wind
1,22,6,0,0
2,22,6,0,0
3,22,6,0,0
4,22,6,0,0
5,22,6,0,0
6,22,6,0,0
7,22,6,0,0
8,22,6,0,0
9,22,6,0,0
10,22,6,0,0
11,22,6,0,0
12,22,6,0,0
13,22,6,0,0
14,22,6,0,0
15,22,6,0,0
16,22,6,0,0
17,22,6,0,0
18,22,6,0,0
19,22,6,0,0
20,22,6,0,0
21,22,6,0,0
22,22,6,0,0
23,22,6,0,0
24,22,6,0,0
25,22,6,0,0
26,22,6,0,0
27,22,6,0,0
28,22,6,0,0
29,22,6,0,0
30,26,10,0,0
31,26,10,0,0
32,26,10,0,0
33,26,10,0,0
34,26,10,0,0
35,26,10,0,0
36,26,10,0,0
37,26,10,0,0
38,26,10,0,0
39,26,10,0,0
40,26,10,0,0
41,26,10,0,0
42,26,10,0,0
43,26,10,0,0
44,26,10,0,0
45,26,10,0,0
46,26,10,0,0
47,26,10,0,0
48,26,10,0,0
49,26,10,0,0
50,26,10,0,0
51,26,10,0,0
52,26,10,0,0
53,26,10,0,0
54,26,10,0,0
55,26,10,0,0
56,26,10,0,0
57,26,10,0,0
58,26,10,0,0
59,26,10,0,0
60,28,14,0,0
61,28,14,0,0
62,28,14,0,0
63,28,14,0,0
64,28,14,0,0
65,28,14,0,0
66,28,14,0,0
67,28,14,0,0
68,28,14,0,0
69,28,14,0,0
70,28,14,0,0
71,28,14,0,0
72,28,14,0,0
73,28,14,0,0
74,28,14,0,0
75,28,14,0,0
76,28,14,0,0
77,28,14,0,0
78,28,14,0,0
79,28,14,0,0
80,28,14,0,0
81,28,14,0,0
82,28,14,0,0
83,28,14,0,0
84,28,14,0,0
85,28,14,0,0
86,28,14,0,0
87,28,14,0,0
88,28,14,0,0
89,28,14,0,0
90,30,16,0,0
91,30,16,0,0
92,30,16,0,0
93,30,16,0,0
94,30,16,0,0
95,30,16,0,0
96,30,16,0,0
97,30,16,0,0
98,30,16,0,0
99,30,16,0,0
100,30,16,0,0
101,30,16,0,0
102,30,16,0,0
103,30,16,0,0
104,30,16,0,0
105,30,16,0,0
106,30,16,0,0
107,30,16,0,0
108,30,16,0,0
109,30,16,0,0
110,30,16,0,0
